wwr,rotation,construction,FAR,canyon_width,urban_wwr,wall_albedo,canyon_factor,heat_emitted,avg_height,SCR,FSR,indoor_peak_OT,UHI_avg_temp,UHI_peak_temp
0.27225,188.475,2.575,1.1,22.88,0.755,0.095,0.425,7.63,40,0.15,0.4,27.172764,11.69747,26.104167
0.32425,206.425,3.175,3.42,35.36,0.645,0.995,0.515,5.65,22,0.16,1.36,27.185144,11.830722,26.254167
0.51275,102.315,3.145,3.1,5.6,0.305,0.805,0.485,4.21,88,0.1,0.64,27.18789,11.68744,26.129167
0.52575,84.365,1.345,3.34,14.72,0.095,0.555,0.415,4.75,96,0.1,0.84,27.208368,11.694603,26.141667
0.48675,62.825,2.275,3.78,24.32,0.965,0.475,0.065,8.05,160,0.15,1.61,27.210968,11.885445,26.183333
0.55825,98.725,2.785,4.38,44.48,0.475,0.695,0.575,6.25,135,0.15,1.5,27.247044,11.829515,26.25
0.44125,202.835,2.605,1.22,41.6,0.445,0.865,0.335,4.45,33,0.15,0.37,27.252282,11.672794,26.079167
0.29175,281.815,1.795,4.5,24.8,0.695,0.485,0.005,9.13,200,0.1,2.05,27.275765,11.889311,26.170833
0.22675,44.875,3.955,2.78,45.92,0.495,0.955,0.865,7.33,107,0.12,0.99,27.291514,11.760401,26.220833
0.51925,159.755,2.875,2.7,26.72,0.025,0.235,0.395,7.57,120,0.16,1.26,27.326834,11.740865,26.175
0.42175,285.405,1.855,1.14,6.56,0.975,0.155,0.295,4.57,30,0.11,0.23,27.327411,11.665255,26.041667
0.61675,91.545,3.325,1.98,18.56,0.655,0.765,0.565,6.61,79,0.1,0.74,27.336664,11.747153,26.2
0.50625,138.215,1.255,2.94,15.68,0.635,0.535,0.995,7.87,96,0.1,0.86,27.336732,11.756379,26.2125
0.64275,95.135,2.905,1.46,27.68,0.815,0.425,0.075,5.95,40,0.15,0.41,27.359797,11.694788,26.079167
0.53875,134.625,1.135,1.82,47.36,0.525,0.565,0.495,8.71,71,0.12,0.67,27.389454,11.707058,26.141667
0.36975,141.805,2.365,1.34,44,0.585,0.515,0.475,5.17,33,0.15,0.37,27.434477,11.685611,26.1
0.49975,217.195,2.545,1.58,18.08,0.765,0.415,0.545,6.73,67,0.1,0.65,27.439459,11.721144,26.145833
0.68825,77.185,1.435,4.78,35.84,0.105,0.575,0.185,9.61,205,0.16,2.3,27.455577,11.828898,26.191667
0.62325,66.415,2.485,4.7,5.12,0.805,0.375,0.265,5.47,149,0.1,1.06,27.467116,11.777355,26.1625
0.59725,166.935,2.665,2.86,28.64,0.315,0.195,0.115,8.47,122,0.15,1.27,27.481694,11.759504,26.133333
0.60375,210.015,2.695,2.1,40.16,0.355,0.725,0.315,9.73,66,0.15,0.71,27.493131,11.708998,26.129167
0.67525,317.715,3.805,3.62,3.2,0.335,0.705,0.855,9.25,118,0.1,0.81,27.525372,11.710682,26.183333
0.38275,274.635,2.035,2.38,9.92,0.225,0.795,0.345,6.07,62,0.12,0.5,27.532229,11.673491,26.091667
0.24625,199.245,2.215,2.18,45.44,0.785,0.025,0.375,5.11,68,0.16,0.77,27.532564,11.742023,26.1375
0.58425,213.605,1.105,1.5,46.4,0.605,0.265,0.915,7.51,71,0.12,0.66,27.553112,11.715034,26.179167
0.65575,184.885,3.265,4.42,10.88,0.065,0.255,0.195,7.27,28,0.1,1.03,27.561691,11.709661,26.129167
0.64925,80.775,2.425,3.06,33.92,0.185,0.615,0.845,9.31,23,0.16,1.35,27.583581,11.777075,26.233333
0.44775,148.985,1.525,3.26,37.28,0.685,0.105,0.985,8.77,83,0.1,0.76,27.638209,11.73903,26.2
0.40875,263.865,2.395,2.62,29.6,0.275,0.455,0.745,6.31,23,0.1,1.28,27.657846,11.777223,26.233333
0.66875,87.955,2.245,1.3,36.8,0.255,0.345,0.135,8.41,28,0.1,0.26,27.658003,11.651899,26.041667
0.38925,260.275,2.335,4.58,43.52,0.935,0.905,0.715,9.97,69,0.15,1.88,27.669938,11.938657,26.354167
0.54525,116.675,2.185,1.7,17.6,0.775,0.845,0.605,4.51,67,0.12,0.65,27.736197,11.728035,26.179167
0.37625,220.785,1.555,2.46,39.68,0.365,0.245,0.085,9.37,66,0.15,0.71,27.747998,11.70521,26.108333
0.57125,163.345,1.825,2.06,38.24,0.545,0.015,0.155,5.71,55,0.12,0.51,27.781137,11.686173,26.1
0.43475,249.505,2.125,1.86,8.48,0.795,0.325,0.385,9.85,59,0.11,0.46,27.782589,11.699431,26.1125
0.59075,145.395,2.065,2.74,31.52,0.035,0.055,0.215,6.43,122,0.15,1.31,27.785895,11.732112,26.154167
0.72075,278.225,2.305,3.58,42.08,0.825,0.495,0.785,4.09,135,0.15,1.47,27.802594,11.865675,26.291667
0.74675,109.495,1.885,1.66,2.72,0.995,0.125,0.035,6.97,58,0.1,0.39,27.888874,11.689479,26.070833
0.53225,310.535,3.535,4.54,34.4,0.845,0.335,0.665,5.53,205,0.16,2.25,27.891951,11.933112,26.308333
0.73375,170.525,1.675,1.74,12.32,0.835,0.075,0.025,9.79,63,0.12,0.52,27.925176,11.701841,26.095833
0.31775,303.355,3.565,4.18,7.04,0.085,0.305,0.835,7.75,118,0.11,0.88,27.932525,11.701383,26.170833
0.63625,242.325,1.975,2.42,17.12,0.165,0.225,0.895,5.23,65,0.13,0.58,28.020143,11.687908,26.15
0.74025,113.085,3.655,4.14,32.96,0.245,0.825,0.245,5.89,63,0.15,1.77,28.202616,11.796411,26.1625
0.33075,131.035,3.895,4.82,37.76,0.675,0.715,0.945,9.49,39,0.1,1.28,28.202672,11.825357,26.266667
0.66225,123.855,3.715,3.66,4.64,0.045,0.635,0.355,7.45,118,0.1,0.84,28.222168,11.682658,26.129167
0.70775,152.575,3.745,3.9,13.76,0.265,0.985,0.165,6.19,27,0.12,1.09,28.261218,11.733522,26.129167
0.70125,156.165,3.835,3.98,29.12,0.875,0.525,0.465,7.99,63,0.15,1.69,28.392653,11.891406,26.270833
0.41525,181.295,3.775,4.34,23.36,0.555,0.285,0.635,5.35,160,0.15,1.58,28.43769,11.851939,26.270833
0.19425,177.705,3.685,4.86,40.64,0.195,0.755,0.235,7.21,69,0.15,1.82,28.491146,11.796698,26.1625
0.55175,227.965,3.625,1.38,30.56,0.395,0.945,0.925,9.07,41,0.15,0.43,28.852769,11.69057,26.129167
