ID,year,use,floors,height,street facing,material,N %,S %,E %,W %,total_wwr,window_type,blinds,window_material
35,1961.00,Office,1.00,3.00,Y,Concrete,,,0.22,,0.22,Ribbon,N,Aluminum
36,1919.00,Residential,2.00,6.00,Y,Concrete,,,,0.06,0.06,Punched,Y- blinds,PVC
37,1919.00,Residential,2.00,6.00,Y,Concrete,,,,0.07,0.07,Punched,Y- blinds,Aluminum
38,1910.00,Residential,3.00,10.00,Y,Concrete,,,0.15,,0.15,Punched,Y- blinds,PVC
39,2012.00,Residential,2.00,7.00,Y,Concrete,0.08,,,,0.08,Punched,Y- blinds,PVC
40,1991.00,Residential,3.00,8.00,Y,Concrete,,0.09,,,0.09,Punched,Y- blinds,Aluminum
41,1919.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,PVC
42,1919.00,Residential,2.00,5.00,Y,Concrete,,0.09,,,0.09,Punched,Y- blinds,PVC
43,1919.00,Residential,2.00,6.00,Y,Concrete,,,0.09,,0.09,Punched,Y- blinds,PVC
44,1919.00,Residential,2.00,7.00,Y,Concrete,,,0.09,,0.09,Punched,Y- blinds,PVC
45,1919.00,Residential,2.00,6.00,Y,Concrete,,,0.07,,0.07,Punched,Y- blinds,PVC
46,1946.00,Residential,4.00,13.00,Y,Concrete,0.33,,,,0.33,Grouped Punched,N,Aluminum
47,1946.00,Residential,3.00,9.00,Y,Concrete,,0.09,,,0.09,Punched,Y- blinds,PVC
48,1961.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,Wood
49,1946.00,Office,4.00,12.00,Y,Concrete,,,0.10,,0.10,Punched,Y- blinds,Aluminum
50,1946.00,Residential,5.00,15.00,Y,Concrete,,,,0.53,0.53,Grouped Punched,N,PVC
51,1946.00,Residential,5.00,15.00,Y,Concrete,,,0.13,,0.13,Punched,"Y- blinds, overhang",PVC
52,1946.00,Residential,4.00,12.00,Y,Concrete,,,0.19,,0.19,Punched,Y- blinds,PVC
53,1946.00,Residential,5.00,16.00,Y,Concrete,,,0.16,,0.16,Punched,Y- blinds,PVC
54,1946.00,Residential,5.00,16.00,Y,Concrete,,,0.14,,0.14,Punched,Y- blinds,PVC
55,1946.00,Residential,4.00,12.00,Y,Concrete,,0.31,,,0.31,Grouped Punched,"Y- blinds, overhang",PVC
56,1946.00,Residential,6.00,18.00,Y,Concrete,,0.31,,,0.31,Grouped Punched,Y- blinds,PVC
57,1946.00,Residential,4.00,11.00,Y,Concrete,,,,0.41,0.41,Grouped Punched,"Y- blinds, overhang",PVC
58,1946.00,Residential,2.00,7.00,Y,Concrete,,,0.15,,0.15,Punched,Y- blinds,PVC
59,1946.00,Residential,2.00,7.00,Y,Concrete,,,0.17,,0.17,Punched,Y- blinds,Wood
60,1946.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,Aluminum
61,1946.00,Residential,2.00,7.00,Y,Concrete,,0.09,,,0.09,Punched,Y- blinds,Aluminum
62,1946.00,Residential,2.00,6.00,Y,Concrete,0.08,,,,0.08,Punched,Y- blinds,Aluminum
63,1946.00,Residential,2.00,6.00,Y,Concrete,0.08,,,,0.08,Punched,Y- blinds,PVC
64,1946.00,Residential,2.00,6.00,Y,Concrete,,0.07,,,0.07,Punched,Y- blinds,PVC
65,1946.00,Residential,2.00,6.00,Y,Concrete,,0.07,,,0.07,Punched,Y- blinds,Aluminum
66,1946.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,Aluminum
67,1946.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,PVC
68,1946.00,Residential,5.00,15.00,Y,Concrete,,,0.08,,0.08,Punched,Y- blinds,PVC
69,1946.00,Residential,5.00,15.00,Y,Concrete,,,0.09,,0.09,Punched,Y- blinds,PVC
70,1961.00,Residential,2.00,6.00,Y,Concrete,,,0.09,,0.09,Punched,Y- blinds,PVC
71,1961.00,Residential,5.00,14.00,Y,Concrete,0.14,,,,0.14,Punched,Y- blinds,PVC
72,1961.00,Residential,4.00,13.00,Y,Concrete,,,0.13,,0.13,Punched,Y- blinds,PVC
73,1946.00,Residential,4.00,12.00,Y,Concrete,,,0.42,,0.42,Grouped Punched,N,PVC
74,1961.00,Residential,4.00,13.00,Y,Concrete,,,0.39,,0.39,Grouped Punched,Y- blinds,PVC
75,1946.00,Residential,2.00,7.00,Y,Concrete,,,,0.10,0.10,Punched,Y- blinds,Aluminum
76,1961.00,Residential,2.00,7.00,Y,Concrete,,0.02,,0.07,0.05,Punched,Y- blinds,PVC
77,1961.00,Residential,2.00,6.00,Y,Concrete,,,,0.08,0.08,Punched,Y- blinds,Aluminum
78,1961.00,Residential,2.00,5.00,Y,Concrete,,,,0.10,0.10,Punched,Y- blinds,PVC
79,1961.00,Residential,2.00,5.00,Y,Concrete,0.03,,,0.08,0.06,Punched,Y- blinds,PVC
80,1946.00,Residential,2.00,6.00,Y,Concrete,0.13,,,,0.13,Punched,Y- blinds,Aluminum
81,1946.00,Residential,2.00,5.00,Y,Concrete,0.11,,,,0.11,Punched,Y- blinds,Aluminum
82,1946.00,Residential,2.00,5.00,Y,Concrete,0.07,,,,0.07,Punched,Y- blinds,Aluminum
83,1946.00,Residential,2.00,6.00,Y,Concrete,0.11,,,,0.11,Punched,Y- blinds,Aluminum
84,1946.00,Residential,2.00,7.00,Y,Concrete,0.06,,,,0.06,Punched,Y- blinds,Aluminum
85,1946.00,Residential,2.00,6.00,Y,Concrete,0.08,,,,0.08,Punched,Y- blinds,Aluminum
86,1961.00,Residential,6.00,18.00,Y,Concrete,,,0.39,,0.39,Grouped Punched,Y- blinds,Aluminum
87,1961.00,Residential,6.00,17.00,Y,Concrete,,,0.58,,0.58,Grouped Punched,Y- blinds,Aluminum
88,1961.00,Residential,6.00,17.00,Y,Concrete,,,,0.12,0.12,Punched,Y- blinds,PVC
89,1961.00,Residential,4.00,11.00,Y,Concrete,,0.13,,,0.13,Punched,Y- blinds,PVC
90,1961.00,Residential,4.00,12.00,Y,Concrete,,0.09,,,0.09,Punched,Y- blinds,Wood
91,1919.00,Residential,3.00,9.00,Y,Concrete,,,0.16,,0.16,Punched,Y- blinds,PVC
92,1991.00,Residential,2.00,6.00,Y,Concrete,,0.14,,,0.14,Punched,Y- blinds,Wood
93,1961.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,PVC
94,1961.00,Residential,2.00,6.00,Y,Concrete,,0.07,,,0.07,Punched,Y- blinds,Wood
95,1961.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,PVC
96,1961.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,PVC
97,2012.00,Residential,2.00,6.00,Y,Concrete,0.10,,,,0.10,Punched,Y- blinds,PVC
98,1946.00,Residential,2.00,7.00,Y,Concrete,0.08,,,,0.08,Punched,Y- blinds,Aluminum
99,1961.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,PVC
100,1961.00,Residential,2.00,6.00,Y,Concrete,,0.09,,,0.09,Punched,Y- blinds,Aluminum
101,1961.00,Residential,7.00,21.00,Y,Concrete,,0.38,,,0.38,Grouped Punched,Y- blinds,PVC
102,1961.00,Residential,7.00,20.00,N,Concrete,,0.44,,,0.44,Grouped Punched,Y- blinds,PVC
103,1961.00,Residential,7.00,20.00,N,Concrete,,0.49,,,0.49,Grouped Punched,Y- blinds,PVC
104,1961.00,University,3.00,8.00,Y,Concrete,,,0.10,,0.10,Punched,Y- blinds,Aluminum
105,1961.00,Residential,7.00,22.00,Y,Concrete,,0.23,,,0.23,Punched,"Y- blinds, overhang",PVC
106,1961.00,Residential,7.00,22.00,Y,Concrete,0.62,,,,0.62,Tall Ribbon,Y- blinds,PVC
107,1946.00,Residential,3.00,8.00,N,Concrete,0.10,,,,0.10,Punched,Y- blinds,PVC
108,1961.00,Residential,3.00,9.00,Y,Concrete,0.13,,,,0.13,Punched,Y- blinds,PVC
109,1961.00,Residential,3.00,10.00,Y,Concrete,0.21,,,,0.21,Punched,Y- blinds,Aluminum
110,1961.00,Residential,5.00,16.00,Y,Concrete,,,,0.19,0.19,Punched,Y- blinds,PVC
111,1946.00,Residential,2.00,7.00,Y,Concrete,,,0.12,,0.12,Punched,Y- blinds,Wood
112,1961.00,Residential,3.00,8.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,PVC
113,1961.00,Residential,3.00,8.00,Y,Concrete,,,0.07,,0.07,Punched,Y- blinds,PVC
114,1961.00,Residential,3.00,10.00,Y,Concrete,0.08,,,,0.08,Punched,Y- blinds,PVC
115,1961.00,Residential,4.00,11.00,Y,Concrete,0.09,,,,0.09,Punched,Y- blinds,PVC
116,1961.00,Residential,7.00,21.00,Y,Concrete,,,,0.45,0.45,Grouped Punched,Y- blinds,PVC
117,1961.00,Residential,7.00,20.00,Y,Concrete,,,,0.42,0.42,Grouped Punched,Y- blinds,PVC
118,1961.00,Residential,7.00,20.00,Y,Concrete,,,,0.21,0.21,Grouped Punched,Y- blinds,PVC
119,1991.00,Residential,2.00,7.00,Y,Concrete,,,,0.08,0.08,Punched,Y- blinds,PVC
120,1961.00,Residential,2.00,5.00,Y,Concrete,,,,0.09,0.09,Punched,Y- blinds,Aluminum
121,1946.00,Residential,2.00,6.00,Y,Concrete,0.01,,,0.08,0.05,Punched,Y- blinds,Aluminum
122,1961.00,Residential,2.00,7.00,Y,Concrete,,0.03,,0.10,0.07,Punched,Y- blinds,PVC
123,1961.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,PVC
124,1961.00,Residential,2.00,5.00,Y,Concrete,,0.07,,,0.07,Punched,Y- blinds,PVC
125,1961.00,Residential,2.00,7.00,Y,Concrete,0.08,,,0.02,0.05,Punched,Y- blinds,PVC
126,1961.00,Residential,2.00,7.00,Y,Concrete,0.09,,,,0.09,Punched,Y- blinds,PVC
127,1961.00,Residential,3.00,10.00,Y,Concrete,0.10,0.11,,,0.11,Grouped Punched,Y- blinds,PVC
128,1961.00,Residential,3.00,10.00,Y,Concrete,0.12,,,,0.12,Grouped Punched,Y- blinds,PVC
129,1961.00,Residential,3.00,8.00,Y,Concrete,,,0.09,0.13,0.11,Grouped Punched,Y- blinds,PVC
130,1961.00,Residential,3.00,10.00,Y,Concrete,0.13,0.10,,,0.12,Grouped Punched,Y- blinds,PVC
131,1961.00,Residential,3.00,8.00,Y,Concrete,0.13,0.10,,,0.12,Grouped Punched,Y- blinds,PVC
132,1961.00,Residential,4.00,11.00,Y,Concrete,0.10,0.10,,,0.10,Grouped Punched,Y- blinds,PVC
133,1961.00,Residential,4.00,11.00,Y,Concrete,0.10,0.10,,,0.10,Grouped Punched,Y- blinds,PVC
134,1961.00,Residential,7.00,20.00,Y,Concrete,0.32,0.37,,,0.35,Grouped Punched,Y- blinds,PVC
135,1961.00,Residential,6.00,18.00,Y,Concrete,,,,0.50,0.50,Grouped Punched,N,PVC
136,1961.00,Residential,6.00,18.00,Y,Concrete,,,,0.52,0.52,Grouped Punched,Y- blinds,PVC
137,1961.00,Residential,6.00,18.00,Y,Concrete,,,,0.53,0.53,Grouped Punched,N,PVC
138,1961.00,Residential,5.00,15.00,Y,Concrete,,,0.09,,0.09,Punched,Y- blinds,Aluminum
139,1961.00,Residential,5.00,16.00,Y,Concrete,,0.20,,,0.20,Punched,Y- blinds,PVC
140,1961.00,Residential,5.00,16.00,Y,Concrete,0.46,,,,0.46,Grouped Punched,Y- blinds,PVC
141,1961.00,Residential,8.00,23.00,Y,Concrete,0.39,,,,0.39,Grouped Punched,Y- blinds,PVC
142,1961.00,Residential,11.00,33.00,Y,Concrete,0.39,,0.22,,0.31,Grouped Punched,Y- blinds,PVC
143,1961.00,Residential,10.00,31.00,Y,Concrete,,0.18,,,0.18,Punched,Y- blinds,Aluminum
144,1961.00,Residential,9.00,26.00,Y,Concrete,0.32,,,,0.32,Grouped Punched,Y- blinds,Aluminum
145,1961.00,Residential,9.00,28.00,Y,Concrete,0.28,0.30,,,0.29,Grouped Punched,Y- blinds,PVC
146,1961.00,Residential,9.00,28.00,Y,Concrete,0.34,,,,0.34,Grouped Punched,Y- blinds,PVC
147,1961.00,Residential,10.00,31.00,Y,Concrete,,0.30,,,0.30,Grouped Punched,"Y- blinds, overhang",PVC
148,1961.00,Residential,7.00,22.00,Y,Concrete,0.54,,,,0.54,Punched,Y- blinds,PVC
149,1961.00,Residential,3.00,9.00,Y,Concrete,,,0.09,,0.09,Grouped Punched,Y- blinds,PVC
150,1961.00,Residential,5.00,16.00,N,Concrete,0.27,,,,0.27,Tall Ribbon,Y- blinds,Aluminum
151,1961.00,Residential,3.00,10.00,Y,Concrete,,,,0.09,0.09,Punched,Y- blinds,PVC
152,1961.00,Residential,5.00,14.00,Y,Concrete,,,0.35,,0.35,Grouped Punched,N,Aluminum
153,1961.00,Residential,4.00,11.00,Y,Concrete,,,0.13,,0.13,Punched,Y- blinds,PVC
154,1961.00,Residential,4.00,11.00,Y,Concrete,,,0.19,,0.19,Punched,Y- blinds,PVC
155,1961.00,Residential,3.00,9.00,Y,Concrete,0.12,,,,0.12,Grouped Punched,Y- blinds,PVC
156,1961.00,Residential,3.00,8.00,Y,Concrete,0.13,0.10,,,0.12,Grouped Punched,Y- blinds,PVC
157,1961.00,Residential,3.00,9.00,Y,Concrete,0.11,,,,0.11,Grouped Punched,Y- blinds,PVC
158,1961.00,Residential,3.00,9.00,Y,Concrete,0.11,,,,0.11,Grouped Punched,Y- blinds,PVC
159,1961.00,Residential,3.00,9.00,Y,Concrete,0.11,,,,0.11,Grouped Punched,Y- blinds,PVC
160,1961.00,Residential,3.00,8.00,Y,Concrete,0.12,0.10,,,0.11,Grouped Punched,Y- blinds,PVC
161,1961.00,Residential,8.00,23.00,N,Concrete,,,0.07,,0.07,Punched,Y- blinds,PVC
162,1961.00,Residential,18.00,54.00,Y,Concrete,,,,0.43,0.43,Grouped Punched,Y- blinds,PVC
163,1961.00,Residential,18.00,53.00,Y,Concrete,,,,0.39,0.39,Grouped Punched,Y- blinds,PVC
164,1961.00,Residential,5.00,15.00,Y,Concrete,,,0.28,,0.28,Grouped Punched,Y- blinds,Aluminum
165,1961.00,Residential,7.00,22.00,Y,Concrete,,0.11,,,0.11,Punched,Y- blinds,Aluminum
166,1961.00,Residential,1.00,4.00,Y,Concrete,,0.05,,,0.05,Punched,Y- blinds,Aluminum
167,1961.00,Residential,1.00,4.00,Y,Concrete,,0.06,,,0.06,Punched,Y- blinds,PVC
168,1961.00,Residential,1.00,4.00,Y,Concrete,,,0.08,,0.08,Punched,Y- blinds,PVC
169,1961.00,Residential,2.00,6.00,Y,Concrete,,,0.07,,0.07,Punched,Y- blinds,PVC
170,1961.00,Residential,2.00,5.00,Y,Concrete,,,0.08,,0.08,Punched,Y- blinds,PVC
171,1961.00,Residential,2.00,5.00,Y,Concrete,,,0.09,,0.09,Punched,Y- blinds,Wood
172,1919.00,Residential,2.00,7.00,Y,Concrete,,,0.08,,0.08,Punched,Y- blinds,PVC
173,1961.00,Residential,18.00,55.00,N,Concrete,0.26,,,,0.26,Punched,Y- blinds,Aluminum
174,1961.00,Residential,14.00,41.00,N,Concrete,0.27,,,,0.27,Punched,Y- blinds,Aluminum
175,1946.00,Shopping Mall,5.00,14.00,Y,Concrete,,,0.21,,0.21,Punched,N,Aluminum
176,1991.00,Residential,2.00,7.00,Y,Concrete,,,,0.08,0.08,Punched,Y- blinds,Aluminum
177,1991.00,Residential,4.00,13.00,Y,Concrete,0.22,0.16,,,0.19,Grouped Punched,Y- blinds,PVC
178,1991.00,Residential,4.00,13.00,Y,Concrete,0.16,,,,0.16,Punched,Y- blinds,PVC
179,1991.00,Residential,4.00,13.00,Y,Concrete,0.16,0.14,,,0.15,Grouped Punched,Y- blinds,PVC
180,1991.00,Residential,4.00,13.00,Y,Concrete,0.15,,,,0.15,Grouped Punched,Y- blinds,PVC
181,1991.00,Residential,4.00,13.00,Y,Concrete,0.19,,,,0.19,Grouped Punched,Y- blinds,PVC
182,1910.00,Residential,1.00,4.00,Y,Concrete,,,0.14,,0.14,Punched,Y- blinds,PVC
183,1991.00,Residential,6.00,19.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,Aluminum
184,1991.00,Residential,6.00,18.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,Aluminum
185,1991.00,Residential,4.00,13.00,Y,Concrete,,,0.11,,0.11,Punched,Y- blinds,PVC
186,1991.00,Residential,6.00,17.00,Y,Concrete,,,0.13,,0.13,Punched,Y- blinds,PVC
187,1991.00,Residential,6.00,17.00,Y,Concrete,,,0.14,,0.14,Punched,Y- blinds,PVC
188,1991.00,Residential,2.00,7.00,Y,Concrete,,,,0.07,0.07,Punched,Y- blinds,Aluminum
189,1991.00,Residential,2.00,7.00,Y,Concrete,0.10,,,,0.10,Punched,Y- blinds,Aluminum
190,1991.00,Residential,7.00,22.00,Y,Concrete,,,0.13,,0.13,Punched,Y- blinds,Aluminum
191,1991.00,Residential,2.00,6.00,Y,Concrete,,,,0.11,0.11,Punched,Y- blinds,Aluminum
192,1919.00,Residential,2.00,7.00,Y,Concrete,,0.05,,0.06,0.06,Punched,Y- blinds,PVC
193,1919.00,Residential,2.00,6.00,Y,Concrete,0.02,,0.10,,0.06,Punched,Y- blinds,PVC
194,1991.00,Residential,8.00,25.00,Y,Concrete,,0.15,,,0.15,Punched,"Y- blinds, overhang",Aluminum
195,1991.00,Residential,8.00,25.00,Y,Concrete,,0.13,,,0.13,Punched,"Y- blinds, overhang",Aluminum
196,1910.00,Office,2.00,7.00,Y,Concrete,,,,0.08,0.08,Punched,N,Wood
197,1910.00,Restaurant,2.00,6.00,Y,Concrete,0.10,,,,0.10,Punched,N,PVC
198,1910.00,Retail,2.00,6.00,Y,Concrete,0.11,,,,0.11,Punched,N,PVC
199,1910.00,Residential,2.00,5.00,Y,Concrete,0.13,,,,0.13,Punched,Y- blinds,Wood
200,1946.00,Shopping Mall,5.00,15.00,Y,Concrete,,,0.12,,0.12,Punched,Y- blinds,Aluminum
201,2012.00,Industrial,3.00,10.00,Y,Concrete,,,0.18,,0.18,Ribbon,Y- blinds,Aluminum
202,1946.00,Industrial,9.00,27.00,Y,Concrete,,,,0.20,0.20,Punched,N,Aluminum
203,1946.00,Industrial,2.00,6.00,Y,Concrete,,,,0.02,0.02,Punched,N,Aluminum
204,1946.00,Residential,2.00,7.00,Y,Concrete,,,0.14,,0.14,Punched,Y- blinds,PVC
205,1961.00,School,3.00,9.00,Y,Concrete,,,0.16,,0.16,Punched,N,Aluminum
206,1961.00,School,3.00,10.00,Y,Concrete,0.34,,,,0.34,Grouped Punched,Y- blinds,Aluminum
207,1961.00,School,1.00,3.00,N,Concrete,,0.07,,,0.07,Punched,Y- blinds,Aluminum
208,1961.00,School,2.00,6.00,Y,Concrete,0.09,,,,0.09,Punched,Y- blinds,Aluminum
209,1946.00,Hospital,3.00,9.00,Y,Concrete,0.16,,,,0.16,Punched,Y- blinds,Aluminum
210,1919.00,Office,1.00,4.00,Y,Concrete,,,0.21,,0.21,Grouped Punched,Y- blinds,Aluminum
211,1961.00,Restaurant,2.00,7.00,Y,Concrete,,,,0.13,0.13,Punched,Y- blinds,PVC
212,1919.00,Restaurant,5.00,14.00,Y,Concrete,,,0.13,,0.13,Punched,Y- blinds,PVC
213,1919.00,Residential,2.00,6.00,Y,Concrete,,,0.15,,0.15,Punched,N,PVC
214,1910.00,Restaurant,3.00,9.00,Y,Concrete,,0.07,,,0.07,Punched,Y- blinds,PVC
215,1919.00,Residential,3.00,10.00,Y,Concrete,,0.12,,,0.12,Punched,Y- blinds,PVC
216,1919.00,Residential,3.00,8.00,Y,Concrete,,0.12,,,0.12,Punched,Y- blinds,PVC
217,1919.00,Residential,3.00,10.00,Y,Concrete,,0.10,,,0.10,Punched,Y- blinds,PVC
218,1946.00,Residential,3.00,10.00,Y,Concrete,,,0.17,,0.17,Punched,Y- blinds,PVC
219,1919.00,Residential,3.00,8.00,Y,Concrete,,,,0.14,0.14,Punched,Y- blinds,PVC
220,1919.00,Residential,2.00,7.00,Y,Concrete,,,,0.10,0.10,Punched,Y- blinds,Aluminum
221,1919.00,Residential,1.00,4.00,Y,Concrete,,,0.08,,0.08,Punched,Y- blinds,Wood
222,1919.00,Residential,2.00,6.00,Y,Concrete,,,0.05,,0.05,Punched,Y- blinds,Wood
223,1919.00,Residential,3.00,10.00,Y,Concrete,,,0.10,,0.10,Punched,Y- blinds,Wood
224,1919.00,Residential,1.00,4.00,Y,Concrete,,,0.16,,0.16,Punched,Y- blinds,Wood
225,1919.00,Residential,4.00,11.00,Y,Concrete,,,0.12,,0.12,Punched,Y- blinds,Wood
226,1919.00,Residential,2.00,5.00,Y,Concrete,,,0.04,,0.04,Punched,Y- blinds,PVC
227,1946.00,Residential,3.00,9.00,Y,Concrete,,,0.16,,0.16,Punched,Y- blinds,PVC
228,1919.00,Residential,2.00,5.00,Y,Concrete,,,,0.09,0.09,Punched,Y- blinds,PVC
229,1919.00,Residential,2.00,6.00,Y,Concrete,,,0.09,,0.09,Punched,N,PVC
230,1961.00,Residential,8.00,23.00,N,Concrete,,,,0.38,0.38,Grouped Punched,Y- blinds,PVC
231,1919.00,Residential,2.00,6.00,Y,Concrete,,,,0.10,0.10,Punched,Y- blinds,PVC
232,1961.00,Residential,5.00,15.00,N,Concrete,0.09,,,,0.09,Punched,Y- blinds,Aluminum
233,1961.00,Residential,5.00,15.00,Y,Concrete,,0.39,,,0.39,Grouped Punched,Y- blinds,PVC
234,1961.00,Residential,5.00,15.00,N,Concrete,0.12,,,,0.12,Punched,Y- blinds,PVC
235,1961.00,Residential,5.00,15.00,N,Concrete,0.09,,,,0.09,Punched,Y- blinds,PVC
236,1961.00,Residential,5.00,15.00,N,Concrete,,,0.15,,0.15,Punched,Y- blinds,Aluminum
237,1961.00,Residential,1.00,2.00,N,Concrete,,,,0.39,0.39,Grouped Punched,Y- blinds,PVC
